Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|Field=Manufacturer~String~Manufacturer~99|Field=Manufacturer Part Number~String~Manufacturer Part Number~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Carte_Alim_2019.PrjPcb|ReportField=ProjectFullPath~N:\DOC\Audran\Goldorak\3-GIT\2-ELEC\2-PROJ\14-Carte_Alim_2019\Carte_Alim_2019.PrjPcb|ReportField=Title~Bill of Materials For Variant [PROD] of Project [Carte_Alim_2019.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~196|ReportField=ReportTime~08:15:06|ReportField=ReportDate~21/03/2019|ReportField=ReportDateTime~21/03/2019 08:15:06|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~PROD|ReportField=Address1~Electrolab|ReportField=Address2~52 rue Paul Lescop|ReportField=Address3~92000 Nanterre|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Audran|ReportField=CheckedBy~|ReportField=CompanyName~Goldorak|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~21/03/2019|ReportField=CurrentTime~08:13:58|ReportField=Date~|ReportField=DocumentFullPathAndName~N:\DOC\Audran\Goldorak\3-GIT\2-ELEC\2-PROJ\14-Carte_Alim_2019\Carte_Alim_2019_TOP.SchDoc|ReportField=DocumentName~Carte_Alim_2019_TOP.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~20/03/2019|ReportField=Organization~|ReportField=ProjectName~Carte_Alim_2019.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~5|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Carte_Alim_2019.PrjPcb|ReportField=DataSourceFullPath~N:\DOC\Audran\Goldorak\3-GIT\2-ELEC\2-PROJ\14-Carte_Alim_2019\Carte_Alim_2019.PrjPcb
19|691311500102|WR-TBL 2p Series 311 - 5.08 mm Closed Vertical PCB Header|J1, J2|691311500102|691311500102|2|Wurth Electronics Inc.|691311500102
20|690367280676|WR-MM 6p Female SMT Connector with Polarization|J3, J26|690367280676|690367280676|2|Wurth Electronics Inc.|690367280676
21|22-03-5035||J5, J6, J7|20-03-5035|20-03-5035|3||22-03-5035
22|691322110002|WR-TBL 2p Series 3221 - 3.50 mm Horizontal PCB Header|J8, J10, J13, J14|691322110002|691322110002|4|Wurth Electronics Inc.|691322110002
23|690367280876|WR-MM 8p Female SMT Connector with Polarization|J16, J27|690367280876|690367280876|2|Wurth Electronics Inc.|690367280876
24|22-03-2031||J19, J20, J21, J22, J23, J24, J29, J30|22-03-2031|22-03-2031|8||22-03-2031
25|IPD50P04P4L11ATMA1|MOSFET P 40V 50A DPAK|Q1|DPAK|IPD50P04P4-L11|1|INFINEON|IPD50P04P4L11ATMA1
26|IRLML0040TRPBF|MOSFET N 40V 3.6A SOT23|Q2, Q3, Q4, Q5, Q6, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17|SOT-23|IRLML0040|14|INTERNATIONAL RECTIFIER|IRLML0040TRPBF
27|VNH5180ATR-E|IC MOTOR DRIVER PAR 36POWERSSO|Q7, Q8|SSOP50P1030X247-36N|VNH5180ATR-E|2|STMicroelectronics|VNH5180ATR-E
28|RC0603FR-0710KL|RES SMD 10K OHM 1% 1/10W 0603|R1, R3, R4, R5, R8, R13, R14, R15, R16, R20, R22, R23, R26, R27, R28, R37, R38, R39, R40, R47, R48, R53, R54, R55, R56, R57, R58, R59, R67, R68, R69, R70, R71, R79, R80, R81, R88, R89|RESC1608X06N|RC0603FR-0710KL|38|Yageo|RC0603FR-0710KL
29|1k|resistance traversante verticale générique|R2|RESADV480W80L1200D390|Generic_TH_Vert_Res|1|MULTICOMP|MCKNP02WJ0102A19
30|RC0805FR-072K7L|RES SMD 2K7 OHM 1% 1/8W 0805|R6, R18, R19|RESC2012X06M|RC0805FR-072K7L|3|Yageo|RC0805FR-072K7L
31|RC0603FR-071KL|RES SMD 1K OHM 1% 1/10W 0603|R7, R9, R10, R11, R12, R29, R31, R33, R34, R35, R36, R41, R42, R43, R44|RESC1608X06N|RC0603FR-071KL|15|Yageo|RC0603FR-071KL
32|RC0603FR-071K8L|RES SMD 1.8K OHM 1% 1/10W 0603|R17, R49, R50, R64, R65, R66, R76, R77, R78|RESC1608X06N|RC0603FR-071K8L|9|Yageo|RC0603FR-071K8L
33|RC0603FR-071KL|RES SMD 1K OHM 1% 1/10W 0603|R21, R24, R85, R86|RESC1608X06N||4|Yageo|RC0603FR-071KL
34|RC0402FR-07620RL|RES SMD 620 OHM 1% 1/16W 0402|R30, R32|RESC1005X04N|RC0402FR-07620RL|2|Yageo|RC0402FR-07620RL
35|RC0603FR-0768RL|RES SMD 68 OHM 1% 1/10W 0603|R61, R62, R63, R73, R74, R75, R82, R83, R84, R87, R90|RESC1608X06N|RC0603FR-0768RL|11|Yageo|RC0603FR-0768RL
36|OS102011MS2QN1|SWITCH SLIDE SPDT 0.1A 12V (500VDC max)|S1, S2, S3, S5|SW_OS102011MS2QN1|OS102011MS2QN1|4|C & K COMPONENTS|OS102011MS2QN1
37|430456085736|WS-TATV 12x12mm washable Tact Switch, THT version|S4|4304x60857x6_12x12x8.5|430456085736|1|Wurth Elektronik|430456085736
